1802 03 12 -99  -99   -99 -99
1802 03 13 -99  -99   -99 -99
1802 03 14 -99  -99   -99 -99
1802 03 15 -99  -99   -99 -99
1802 03 16 -99  -99   -99 -99
1802 03 17 -99  -99   -99 -99
1802 03 18 -99  -99   -99 -99
1802 03 19 -99  -99   -99 -99
1802 03 20 -99  -99   -99 -99
1802 03 21 -99  -99   -99 -99
1802 03 22 -99  -99   -99 -99
1802 03 23 -99  -99   -99 -99
1802 03 24 -99  -99   -99 -99
1802 03 25 -99  -99   -99 -99
1802 03 26 -99  -99   -99 -99
1802 03 27 -99  -99   -99 -99
1802 03 28 -99  -99   -99 -99
1802 03 29 -99  -99   -99 -99
1802 03 30 -99  -99   -99 -99
1802 03 31 -99  -99   -99 -99
1802 04 01 -99  -99   -99 -99
1802 04 02 -99  -99   -99 -99
1802 04 03 -99  -99   -99 -99
1802 04 04 -99  -99   -99 -99
1802 04 05 -99  -99   -99 -99
1802 04 06 -99  -99   -99 -99
1802 04 07 -99  -99   -99 -99
1802 04 08 -99  -99   -99 -99
1802 04 09 -99  -99   -99 -99
1802 04 10 -99  -99   -99 -99
1802 04 11 -99  -99   -99 -99
1802 04 12 -99  -99   -99 -99
1802 04 13 -99  -99   -99 -99
1802 04 14 -99  -99   -99 -99
1802 04 15 -99  -99   -99 -99
1802 04 16 -99  -99   -99 -99
1802 04 17 -99  -99   -99 -99
1802 04 18 -99  -99   -99 -99
1802 04 19 -99  -99   -99 -99
1802 04 20 -99  -99   -99 -99
1802 04 21 -99  -99   -99 -99
1802 04 22 -99  -99   -99 -99
1802 04 23 -99  -99   -99 -99
1802 04 24 -99  -99   -99 -99
1802 04 25 -99  -99   -99 -99
1802 04 26 -99  -99   -99 -99
1802 04 27 -99  -99   -99 -99
1802 04 28 -99  -99   -99 -99
1802 04 29 -99  -99   -99 -99
1802 04 30 -99  -99   -99 -99
1802 04 31 -99  -99   -99 -99
1802 05 01 -99  -99   -99 -99
1802 05 02 -99  -99   -99 -99
1802 05 03 -99  -99   -99 -99
1802 05 04 -99  -99   -99 -99
1802 05 05 -99  -99   -99 -99
1802 05 06 -99  -99   -99 -99
1802 05 07 -99  -99   -99 -99
1802 05 08 -99  -99   -99 -99
1802 05 09 -99  -99   -99 -99
1802 05 10 -99  -99   -99 -99
1802 05 11 -99  -99   -99 -99
1802 05 12 -99  -99   -99 -99
1802 05 13 -99  -99   -99 -99
1802 05 14 -99  -99   -99 -99
1802 05 15 -99  -99   -99 -99
1802 05 16 -99  -99   -99 -99
1802 05 17 -99  -99   -99 -99
1802 05 18 -99  -99   -99 -99
1802 05 19 -99  -99   -99 -99
1802 05 20 -99  -99   -99 -99
1802 05 21 -99  -99   -99 -99
1802 05 22 -99  -99   -99 -99
1802 05 23 -99  -99   -99 -99
1802 05 24 -99  -99   -99 -99
1802 05 25 -99  -99   -99 -99
1802 05 26 -99  -99   -99 -99
1802 05 27 -99  -99   -99 -99
1802 05 28 -99  -99   -99 -99
1802 05 29 -99  -99   -99 -99
1802 05 30 -99  -99   -99 -99
1802 05 31 -99  -99   -99 -99
1802 06 01 -99  -99   -99 -99
1802 06 02 -99  -99   -99 -99
1802 06 03 -99  -99   -99 -99
1802 06 04 -99  -99   -99 -99
1802 06 05 -99  -99   -99 -99
1802 06 06 -99  -99   -99 -99
1802 06 07 -99  -99   -99 -99
1802 06 08 -99  -99   -99 -99
1802 06 09 -99  -99   -99 -99
1802 06 10 -99  -99   -99 -99
1802 06 11 -99  -99   -99 -99
1802 06 12 -99  -99   -99 -99
1802 06 13 -99  -99   -99 -99
1802 06 14 -99  -99   -99 -99
1802 06 15 -99  -99   -99 -99
1802 06 16 -99  -99   -99 -99
1802 06 17 -99  -99   -99 -99
1802 06 18 -99  -99   -99 -99
1802 06 19 -99  -99   -99 -99
1802 06 20 -99  -99   -99 -99
1802 06 21 -99  -99   -99 -99
1802 06 22 -99  -99   -99 -99
1802 06 23 -99  -99   -99 -99
1802 06 24 -99  -99   -99 -99
1802 06 25 -99  -99   -99 -99
1802 06 26 -99  -99   -99 -99
1802 06 27 -99  -99   -99 -99
1802 06 28 -99  -99   -99 -99
1802 06 29 -99  -99   -99 -99
1802 06 30 -99  -99   -99 -99
1802 06 31 -99  -99   -99 -99
1802 07 01 -99  -99   -99 -99
1802 07 02 -99  -99   -99 -99
1802 07 03 -99  -99   -99 -99
1802 07 04 -99  -99   -99 -99
1802 07 05 -99  -99   -99 -99
1802 07 06 -99  -99   -99 -99
1802 07 07 -99  -99   -99 -99
1802 07 08 -99  -99   -99 -99
1802 07 09 -99  -99   -99 -99
1802 07 10 -99  -99   -99 -99
1802 07 11 -99  -99   -99 -99
1802 07 12 -99  -99   -99 -99
1802 07 13 -99  -99   -99 -99
1802 07 14 -99  -99   -99 -99
1802 07 15 -99  -99   -99 -99
1802 07 16 -99  -99   -99 -99
1802 07 17 -99  -99   -99 -99
1802 07 18 -99  -99   -99 -99
1802 07 19 -99  -99   -99 -99
1802 07 20 -99  -99   -99 -99
1802 07 21 -99  -99   -99 -99
1802 07 22 -99  -99   -99 -99
1802 07 23 -99  -99   -99 -99
1802 07 24 -99  -99   -99 -99
1802 07 25 -99  -99   -99 -99
1802 07 26 -99  -99   -99 -99
1802 07 27 -99  -99   -99 -99
1802 07 28 -99  -99   -99 -99
1802 07 29 -99  -99   -99 -99
1802 07 30 -99  -99   -99 -99
1802 07 31 -99  -99   -99 -99
1802 08 01 -99  -99   -99 -99
1802 08 02 -99  -99   -99 -99
1802 08 03 -99  -99   -99 -99
1802 08 04 -99  -99   -99 -99
1802 08 05 -99  -99   -99 -99
1802 08 06 -99  -99   -99 -99
1802 08 07 -99  -99   -99 -99
1802 08 08 -99  -99   -99 -99
1802 08 09 -99  -99   -99 -99
1802 08 10 -99  -99   -99 -99
1802 08 11 -99  -99   -99 -99
1802 08 12 -99  -99   -99 -99
1802 08 13 -99  -99   -99 -99
1802 08 14 -99  -99   -99 -99
1802 08 15 -99  -99   -99 -99
1802 08 16 -99  -99   -99 -99
1802 08 17 -99  -99   -99 -99
1802 08 18 -99  -99   -99 -99
1802 08 19 -99  -99   -99 -99
1802 08 20 -99  -99   -99 -99
1802 08 21 -99  -99   -99 -99
1802 08 22 -99  -99   -99 -99
1802 08 23 -99  -99   -99 -99
1802 08 24 -99  -99   -99 -99
1802 08 25 -99  -99   -99 -99
1802 08 26 -99  -99   -99 -99
1802 08 27 -99  -99   -99 -99
1802 08 28 -99  -99   -99 -99
1802 08 29 -99  -99   -99 -99
1802 08 30 -99  -99   -99 -99
1802 08 31 -99  -99   -99 -99
1802 09 01 -99  -99   -99 -99
1802 09 02 -99  -99   -99 -99
1802 09 03 -99  -99   -99 -99
1802 09 04 -99  -99   -99 -99
1802 09 05 -99  -99   -99 -99
1802 09 06 -99  -99   -99 -99
1802 09 07 -99  -99   -99 -99
1802 09 08 -99  -99   -99 -99
1802 09 09 -99  -99   -99 -99
1802 09 10 -99  -99   -99 -99
1802 09 11 -99  -99   -99 -99
1802 09 12 -99  -99   -99 -99
1802 09 13 -99  -99   -99 -99
1802 09 14 -99  -99   -99 -99
1802 09 15 -99  -99   -99 -99
1802 09 16 -99  -99   -99 -99
1802 09 17 -99  -99   -99 -99
1802 09 18 -99  -99   -99 -99
1802 09 19 -99  -99   -99 -99
1802 09 20 -99  -99   -99 -99
1802 09 21 -99  -99   -99 -99
1802 09 22 -99  -99   -99 -99
1802 09 23   2  2.97   2   4
1802 09 24 -99  -99   -99 -99
1802 09 25 -99  -99   -99 -99
1802 09 26   3  4.26   3   6
1802 09 27   3  4.26   3   6
1802 09 28 -99  -99   -99 -99
1802 09 29 -99  -99   -99 -99
1802 09 30   2  2.97   2   4
1802 09 31 -99  -99   -99 -99
1802 10 01   2  2.97   2   4
1802 10 02   2  2.97   2   4
1802 10 03   3  4.26   3   6
1802 10 04   3  4.26   3   6
1802 10 05   3  4.26   3   6
1802 10 06   3  4.26   3   6
1802 10 07   2  2.97   2   4
1802 10 08   2  2.97   2   4
1802 10 09 -99  -99   -99 -99
1802 10 10   2  2.97   2   4
1802 10 11   3  4.26   3   6
1802 10 12   0  0.34   0   1
1802 10 13   0  0.34   0   1
1802 10 14 -99  -99   -99 -99
1802 10 15 -99  -99   -99 -99
1802 10 16   0  0.34   0   1
1802 10 17   0  0.34   0   1
1802 10 18 -99  -99   -99 -99
1802 10 19 -99  -99   -99 -99
1802 10 20   0  0.34   0   1
1802 10 21 -99  -99   -99 -99
1802 10 22 -99  -99   -99 -99
1802 10 23 -99  -99   -99 -99
