Observer,Station,AvThreshold,SDThreshold,AvThresholdS,SDThresholdS,mreSth,mneSth,KSth,mreMth,mneMth,KMth,R2d,Mean.Res,Mean.Rel.Res,R2Md,Mean.ResM,Mean.Rel.ResM,R2dSI,Mean.Res.SI,Mean.Rel.Res.SI,R2MdSI,Mean.ResM.SI,Mean.Rel.ResM.SI,R2dDifT,Mean.ResDifT,Mean.Rel.ResDifT,R2MdDifT,Mean.ResMDifT,Mean.Rel.ResMDifT,R2dVI,Mean.ResVI,Mean.Rel.ResVI,R2MdVI,Mean.ResMVI,Mean.Rel.ResMVI,QDays,ADays,NADays,QAFrac,ObsPerMonth,RiseCount,DecCount,InvCount,RiseMonths,DecMonths,InvMonths,InvMoStreak,ObsStartDate,ObsTotLength
501,Bortolotti mauro,8.0,nan,[48.  5.  0.],[nan nan  0.],0.03,-0.02,1.03,-0.08,-0.18,0.92,0.8726651053057367,-0.0897748847301329,0.0031712934975837116,0.92062,-0.7380952380952381,-0.046385275156559984,"[-0.09354461728903796, 0.8840173392253983, []]","[-2.2841965471447545, 0.10023980815347722, []]","[-0.35455259874216294, 0.06616968287997957, []]","[-0.21166161105493742, 0.9904616439637168, []]","[-3.45, -0.25, []]","[-0.33900051594161096, -0.017631796308266896, []]",0.5900695011331145,-0.899749373433584,-0.12510412091587395,0.30004203951714614,-2.6666666666666665,-0.22090743181397204,0.8749381995922556,-0.21486810551558752,-0.02328270026786606,0.9661442006269593,-0.6944444444444444,-0.07066262985380634,535,3160,806,0.169,12.317,2,1,1,114,161,16,4,729027,4500
502,Boscat michael,32.0,nan,[ 0. 32.],[ 0. nan],-0.16,-0.18,0.84,-0.25,-0.2,0.75,0.6281559450451962,-0.15876777251184834,-0.16636363636363632,0.6153846153846154,-0.4,-0.14583333333333331,"[[], 0.6231128130639554]","[[], -0.18933333333333333]","[[], -0.1935897435897436]","[[], 0.6153846153846154]","[[], -0.4]","[[], -0.14583333333333331]",0.6231128130639554,-0.18933333333333333,-0.1935897435897436,0.6153846153846154,-0.4,-0.14583333333333331,0.6231128130639554,-0.18933333333333333,-0.1935897435897436,0.6153846153846154,-0.4,-0.14583333333333331,223,243,411,0.918,8.034,1,1,1,45,0,7,1,733261,876
503,Bruns isernhagen,57.0,nan,[ 0.  6.  1.  0. 26.],[ 0. nan nan nan nan],-0.44,-0.46,0.56,0.12,0.09,1.12,-0.769895528422015,-2.5952221478008486,-0.43879690668290355,-5.8509404156587825,-7.362068965517241,-0.4762833631445714,"[[], 0.7672085892439231, 0.8005063768167859, 0.7801671354173676, 0.4529800393590103]","[[], -0.46454948301329396, 1.1083333333333334, 1.0639777468706537, -0.29941860465116277]","[[], -0.005395634127077624, 0.3094898910546251, 0.30268590267720796, -0.24439178515007898]","[[], -0.36918856482818385, 0.8821848669391841, 0.939148441473516, -0.44904458598726116]","[[], -3.5, 0.2619047619047619, 0.28, -1.0714285714285714]","[[], -0.18147530120010627, 0.09429238975678604, 0.07104768219676855, -0.3111111111111111]",0.8018796903656196,0.45458984375,0.16737220645456108,0.08786682911325339,-2.3518518518518516,-0.0804741189920891,-0.24066334097343933,-0.49127906976744184,-0.39992101105845185,-2.3703703703703702,-1.4285714285714286,-0.4138888888888888,620,3867,2844,0.16,9.195,3,2,1,113,255,75,26,722090,7330
504,Basrah,36.0,nan,[23. 11.],[nan nan],-0.24,-0.23,0.76,-0.03,-0.01,0.97,0.613219835812305,-0.18421052631578946,-0.22981770833333331,0.7222222222222223,-0.4,-0.1875,"[0.5859030837004406, 0.7757707129094412]","[-0.10638297872340426, 0.06766917293233082]","[-0.25438596491228066, 0.008426966292134836]","[0.4285714285714286, 0.9324324324324325]","[-0.375, 0.2]","[-0.19444444444444442, 0.0625]",0.768265342888026,-0.004405286343612335,-0.07020997375328082,0.9324324324324325,0.2,0.0625,0.5652208579173976,-0.20300751879699247,-0.20224719101123595,0.7222222222222223,-0.4,-0.1875,100,128,76,0.781,11.4,1,1,0,9,7,4,4,725007,303
505,Broxton tony,58.0,nan,[63. 33.],[nan nan],-0.42,-0.34,0.58,-0.28,-0.19,0.72,0.3579040545151544,-0.229020979020979,-0.3577823691460055,-0.11842105263157876,-0.7,-0.3020833333333333,"[0.5818262020291134, 0.616426005016609]","[-0.0759493670886076, -0.14769975786924938]","[-0.41025641025641024, -0.19131782945736434]","[0.4626865671641791, 0.6153846153846154]","[-0.625, -0.4]","[-0.5555555555555556, -0.14583333333333331]",0.6423838116095457,-0.12784588441331,-0.21493775933609957,0.6153846153846154,-0.4,-0.14583333333333331,0.28421672555948163,-0.2857142857142857,-0.35,-0.11842105263157876,-0.7,-0.3020833333333333,353,272,419,1.298,9.058,1,1,0,45,17,5,2,733088,1043
506,Bucharest,8.0,nan,[ 6. 44. 13. 26.],[nan nan nan nan],-0.12,-0.11,0.88,-0.23,-0.2,0.77,0.7973563450830643,-0.618324607329843,-0.08332596183965833,0.5572519083969465,-2.4,-0.14918029877752756,"[0.8047214746526692, 0.28232418978164897, 0.5897448105502742, 0.4378010767922924]","[-0.3784505788067676, -1.7663645518630413, -1.450199203187251, -0.7433035714285714]","[-0.019316625317307514, -0.325518264305029, -0.2234005043355561, -0.26655604321809306]","[0.5445152538095088, 0.09033065609679769, 0.4707231184997135, 0.34841628959276005]","[-2.18, -2.8947368421052633, -2.782608695652174, -1.6666666666666667]","[-0.12099519322690343, -0.3062210483779111, -0.22709694152752835, -0.2953955135773318]",0.6568932459033423,-1.1343283582089552,-0.19390113927988187,0.4863630902318876,-2.92,-0.216559659505379,0.872366416707754,-0.11830357142857142,-0.017456120364707627,0.9230619778511755,-0.4583333333333333,-0.05844811753902663,411,3417,2674,0.12,8.841,2,2,0,130,222,81,6,723181,6501
507,Bob vanslooten,11.0,nan,[11.],[nan],-0.07,-0.06,0.93,-0.07,-0.05,0.93,0.7219217308304169,-0.08270676691729323,-0.04621212121212122,1.0,0.0,0.0,[0.7275448071829096],[-0.07575757575757576],[-0.04281345565749236],[1.0],[0.0],[0.0],0.7275448071829096,-0.07575757575757576,-0.04281345565749236,1.0,0.0,0.0,0.7275448071829096,-0.07575757575757576,-0.04281345565749236,1.0,0.0,0.0,54,240,431,0.225,6.125,0,1,0,0,26,21,20,733408,724
508,Bowyer arthur,58.0,nan,[ 0. 58.],[ 0. nan],-0.28,-0.28,0.72,-0.38,-0.31,0.62,0.49996826404316086,-0.1891025641025641,-0.26461352657004833,0.42307692307692313,-0.6,-0.2708333333333333,"[[], 0.46555171786947835]","[[], -0.22962962962962963]","[[], -0.30633074935400517]","[[], 0.42307692307692313]","[[], -0.6]","[[], -0.2708333333333333]",0.46555171786947835,-0.22962962962962963,-0.30633074935400517,0.42307692307692313,-0.6,-0.2708333333333333,0.46555171786947835,-0.22962962962962963,-0.30633074935400517,0.42307692307692313,-0.6,-0.2708333333333333,192,152,497,1.263,6.143,1,1,1,36,0,14,3,733275,840
509,Beyazit obser.,5.0,nan,[82. 93.  0. 14.],[nan nan nan nan],0.06,0.06,1.06,-0.18,-0.17,0.82,0.8887743677730959,0.29913774043776253,0.09689712087824873,0.9734727286256418,-0.45652173913043476,-0.027046310906780936,"[-0.5954970592299795, -1.0285382418517255, 0.8003887472337938, 0.6343334599316369]","[-2.375494071146245, -2.4577464788732395, 1.3146603098927294, -0.19879518072289157]","[-0.4737735316148316, -0.4824607699105969, 0.32216526313835125, -0.16711711711711713]","[-1.2278741063357708, -3.800970873786408, 0.9471359223300971, 0.375]","[-4.571428571428571, -4.333333333333333, 1.2272727272727273, -0.5]","[-0.47405933119168414, -0.4724425564823488, 0.16187605762462018, -0.13]",0.5407350002144119,-0.8644405130473242,-0.14931583747417496,0.604462762933485,-2.4782608695652173,-0.23605260428191757,0.7352015977233718,0.12349397590361445,0.10075075075075075,0.925,-0.16666666666666666,-0.04,595,3937,1796,0.151,10.765,2,2,0,119,273,31,7,723182,6327
401,Bemmelen,52.0,nan,[ 8. 62.  0.],[nan nan  0.],0.27,0.13,1.27,0.65,0.37,1.65,0.7507487775909542,0.2663023679417122,0.16898008689584182,0.9820329396107137,-0.20833333333333334,-0.024586776859504132,"[0.595957167839893, 0.7641590470918358, []]","[0.9432234432234432, 0.32857142857142857, []]","[0.5435655539429125, 0.2577013058448702, []]","[0.7910714285714285, 0.7528239202657807, []]","[0.5555555555555556, -0.375, []]","[0.19285714285714284, -0.003650137741046838, []]",0.6769215046906272,0.6320072332730561,0.4097943305086163,0.713235294117647,-0.16666666666666666,0.06756198347107438,0.7566204840406875,0.44285714285714284,0.33269213826144517,0.7402597402597403,-0.25,0.02210743801652892,918,1830,1998,0.502,8.696,1,2,1,101,91,74,48,696153,4745
405,Lucchini,22.0,nan,[20. 97.],[nan nan],0.01,0.04,1.01,-0.15,0.0,0.85,0.8368518053712933,0.06060606060606061,0.045005234036189626,0.35571428571428576,-0.8181818181818182,-0.0965079365079365,"[0.8108621535124444, -0.1579395487441464]","[0.17843388960205392, -0.31862745098039214]","[0.10927918160842855, -0.5502923976608187]","[0.5325779036827194, -0.18867924528301883]","[-0.7272727272727273, -1.1666666666666667]","[-0.0865079365079365, -0.5599999999999999]",0.8212680503523883,0.007582139848357203,-0.04272451118812306,0.5325779036827194,-0.7272727272727273,-0.0865079365079365,0.803335909646214,-0.05392156862745098,-0.08528265107212475,0.9347826086956522,-0.16666666666666666,-0.05,446,744,1254,0.599,7.346,1,1,0,40,74,49,17,696629,2443
406,Guerrieri,57.0,nan,[57.],[nan],-0.36,-0.39,0.64,-0.36,-0.39,0.64,-0.7159924313463066,-1.3577494692144374,-0.34255386105140995,-9.285406698564591,-4.676470588235294,-0.4757809774934388,[-0.7209516291574707],[-1.3595744680851063],[-0.3417858164965635],[-9.285406698564591],[-4.676470588235294],[-0.4757809774934388],-0.7209516291574707,-1.3595744680851063,-0.3417858164965635,-9.285406698564591,-4.676470588235294,-0.4757809774934388,-0.7209516291574707,-1.3595744680851063,-0.3417858164965635,-9.285406698564591,-4.676470588235294,-0.4757809774934388,85,858,138,0.099,13.097,0,1,0,0,68,3,1,696518,1080
407,Braak,50.0,nan,[34.  0. 13. 99.],[nan  0. nan nan],-0.03,-0.02,0.97,0.04,-0.02,1.04,0.7492612006768425,-0.018308080808080808,-0.030192409066947812,0.9810924369747899,-0.1111111111111111,-0.015625,"[0.7567815624022938, [], 0.510509851579291, 0.4695001101079057]","[0.25622775800711745, [], 0.33518005540166207, -0.4409090909090909]","[0.12406041986687148, [], 0.2711267605633803, -0.2705257102841136]","[0.9810606060606061, [], 0.90234375, 0.6777638190954774]","[0.16666666666666666, [], 0.3, -0.9444444444444444]","[0.03392857142857143, [], 0.14583333333333331, -0.24263392857142857]",0.659025060044307,-0.016424510423247,-0.030085081123862274,1.0,0.0,0.0,0.711020318949501,-0.0893939393939394,-0.06205232092837134,0.8766666666666667,-0.16666666666666666,-0.06436011904761904,501,1085,4621,0.462,3.84,2,2,1,57,78,276,269,696884,6206
408,Stefko,15.0,nan,[15.  0.],[nan  0.],-0.45,-0.4,0.55,-0.41,-0.4,0.59,-1.366252141758347,-1.2325581395348837,-0.19611581940767459,-11.605018587360595,-5.111111111111111,-0.5175844364209415,"[-1.753208629546842, []]","[-1.3928571428571428, []]","[-0.17588669198146323, []]","[-12.062906724511931, []]","[-5.083333333333333, []]","[-0.5028785540680003, []]",-1.753208629546842,-1.3928571428571428,-0.17588669198146323,-12.062906724511931,-5.083333333333333,-0.5028785540680003,-1.753208629546842,-1.3928571428571428,-0.17588669198146323,-12.062906724511931,-5.083333333333333,-0.5028785540680003,64,196,1294,0.327,2.524,1,1,1,0,24,76,21,697009,1553
409,Schwarz,88.0,nan,[86. 55.],[nan nan],-0.22,-0.2,0.78,-0.12,-0.13,0.88,0.3160706481607066,-0.11332312404287902,-0.16703869047619047,-3.8076923076923075,-1.5,-0.41111111111111115,"[0.2920687018875884, 0.7448171012623237]","[-0.11062906724511931, 0.02617801047120419]","[-0.13701431492842536, -0.011111111111111112]","[-7.105263157894736, 0.8217821782178218]","[-1.7142857142857142, -0.5]","[-0.4527777777777778, -0.18333333333333332]",0.4085594490819765,-0.0705521472392638,-0.10313901345291478,-2.62962962962963,-1.4285714285714286,-0.3972222222222222,0.6283243243243244,-0.07329842931937172,-0.19722222222222224,0.5,-0.6666666666666666,-0.21666666666666665,430,224,1161,1.92,5.405,1,1,0,16,47,55,9,697259,1814
410,Lissak,99.0,nan,[99.  0.],[nan  0.],0.42,0.16,1.42,0.25,0.24,1.25,0.7909410892923305,0.06418918918918919,0.04303797468354431,0.9074074074074074,0.2,0.125,"[0.6370879720585024, []]","[0.06842105263157895, []]","[0.06382978723404255, []]","[0.7857142857142857, []]","[0.3333333333333333, []]","[0.25, []]",0.6370879720585024,0.06842105263157895,0.06382978723404255,0.7857142857142857,0.3333333333333333,0.25,0.6370879720585024,0.06842105263157895,0.06382978723404255,0.7857142857142857,0.3333333333333333,0.25,218,79,2209,2.759,1.778,1,1,1,0,16,145,59,697278,2505
411,Kavan,87.0,nan,[56. 17.],[nan nan],-0.62,-0.57,0.38,-0.37,-0.4,0.63,-0.4442065020552479,-0.21948051948051947,-0.604383116883117,-9.911764705882353,-2.142857142857143,-0.6607142857142857,"[0.062563256738014, 0.4305396096440872]","[-0.2072936660268714, -0.04032258064516129]","[-0.4346864428831642, -0.2702702702702703]","[-11.653846153846155, -0.4999999999999998]","[-1.8571428571428572, -0.3333333333333333]","[-0.4523809523809524, -0.25]",0.12983737997478262,-0.15344603381014305,-0.407034632034632,-11.653846153846155,-1.8571428571428572,-0.4523809523809524,-2.021848739495797,-0.11693548387096774,-0.7567567567567568,-1.9999999999999996,-0.6666666666666666,-0.75,551,220,321,2.505,10.708,1,1,0,20,50,2,1,697616,1091
600,Koyama,6.0,nan,[85.  6. 45.],[nan nan nan],0.07,0.09,1.07,-0.26,-0.26,0.74,0.8568368232513823,0.44684129429892144,0.11456553364225999,0.984938452813824,-0.023809523809523808,0.007338643790849674,"[-0.7369539236671643, 0.7893594171403158, 0.34043061031610933]","[-2.399014778325123, 0.5993303571428571, -1.631858407079646]","[-0.49468443867664036, 0.1949723303863019, -0.2994141210966542]","[-1.1780962128966221, 0.9690089492873716, 0.48821252085234956]","[-4.571428571428571, 0.058823529411764705, -2.575]","[-0.4838397139925778, 0.030605158730158732, -0.27393356467008084]",0.3885244329793064,-1.3036374845869296,-0.23846276745659165,-0.35481056829511437,-3.357142857142857,-0.28898298156521846,0.8786184650862963,0.4823008849557522,0.10561920997275784,0.9539938129610533,0.625,0.052396041938978226,372,2878,2277,0.129,8.832,1,2,0,91,251,28,4,723185,5526
